Date,spx_Close,spx_Adj Close,vix_3m_Close,vix_6m_Close,vix_9d_Close,vix_cur_Close,total_users_holding,avg_users_holding_ln_ret,avg_users_holding_pct_chg
11/28/2014,2067.560059,2067.560059,15.93,17.94,12.98,13.33,,,
12/1/2014,2053.439941,2053.439941,16.74,18.36,14.63,14.29,,,
12/2/2014,2066.550049,2066.550049,15.96,17.86,12.57,12.85,,,
12/3/2014,2074.330078,2074.330078,15.55,17.57,12.16,12.47,,,
12/4/2014,2071.919922,2071.919922,15.64,17.56,11.88,12.38,,,
12/5/2014,2075.370117,2075.370117,15.55,17.52,10.7,11.82,,,
12/8/2014,2060.310059,2060.310059,16.78,18.53,15.47,14.21,,,
12/9/2014,2059.820068,2059.820068,16.89,18.47,15.27,14.89,,,
12/10/2014,2026.140015,2026.140015,19.14,20.12,21.71,18.53,,,
12/11/2014,2035.329956,2035.329956,20.72,21.49,22.08,20.08,,,
12/12/2014,2002.329956,2002.329956,21,21.64,23.82,21.08,,,
12/15/2014,1989.630005,1989.630005,21.06,22,21.16,20.42,,,
12/16/2014,1972.73999,1972.73999,23.09,23.41,24.25,23.57,,,
12/17/2014,2012.890015,2012.890015,20.43,21.2,18.04,19.44,,,
12/18/2014,2061.22998,2061.22998,18.48,19.91,14.46,16.81,,,
12/19/2014,2070.649902,2070.649902,18.47,19.66,13.77,16.49,,,
12/22/2014,2078.540039,2078.540039,17.59,19.09,12.7,15.25,,,
12/23/2014,2082.169922,2082.169922,17.94,19.19,11.1,14.8,,,
12/24/2014,2081.879883,2081.879883,17.26,19.18,10.35,14.37,,,
12/26/2014,2088.77002,2088.77002,17.16,18.96,12.09,14.5,,,
12/29/2014,2090.570068,2090.570068,17.27,18.79,12.79,15.06,,,
12/30/2014,2080.350098,2080.350098,18.02,19.34,13.86,15.92,,,
12/31/2014,2058.899902,2058.899902,19.74,20.42,18.95,19.2,,,
1/2/2015,2058.199951,2058.199951,19.46,20.24,16.47,17.79,,,
1/5/2015,2020.579956,2020.579956,20.79,21.4,19.45,19.92,,,
1/6/2015,2002.609985,2002.609985,21.42,21.73,20.53,21.12,,,
1/7/2015,2025.900024,2025.900024,20.08,20.92,17.59,19.31,,,
1/8/2015,2062.139893,2062.139893,18.66,19.56,15.04,17.01,,,
1/9/2015,2044.810059,2044.810059,19.32,20.16,15.2,17.55,,,
1/12/2015,2028.26001,2028.26001,20.48,20.92,18.2,19.6,,,
1/13/2015,2023.030029,2023.030029,21.27,21.32,19.63,20.56,,,
1/14/2015,2011.27002,2011.27002,20.93,21.48,21.23,21.48,,,
1/15/2015,1992.670044,1992.670044,22.11,22.03,23.73,22.39,,,
1/16/2015,2019.420044,2019.420044,21.15,21.59,21.48,20.95,,,
1/20/2015,2022.550049,2022.550049,20.87,21.09,21.94,19.89,,,
1/21/2015,2032.119995,2032.119995,20.04,20.72,20.36,18.85,,,
1/22/2015,2063.149902,2063.149902,18.6,19.54,15.58,16.4,,,
1/23/2015,2051.820068,2051.820068,19,19.82,16.08,16.66,,,
1/26/2015,2057.090088,2057.090088,18.03,19.36,14.89,15.52,,,
1/27/2015,2029.550049,2029.550049,19.11,20.07,17.56,17.22,,,
1/28/2015,2002.160034,2002.160034,21.44,21.82,21.78,20.44,,,
1/29/2015,2021.25,2021.25,20,20.66,18.78,18.76,,,
1/30/2015,1994.98999,1994.98999,21.82,21.87,21.17,20.97,,,
2/2/2015,2020.849976,2020.849976,20.91,21.21,19.39,19.43,,,
2/3/2015,2050.030029,2050.030029,19.49,20.37,16.54,17.33,,,
2/4/2015,2041.51001,2041.51001,20.43,20.95,17.48,18.33,,,
2/5/2015,2062.52002,2062.52002,19.27,20.31,15.31,16.85,,,
2/6/2015,2055.469971,2055.469971,19.88,20.87,14.93,17.29,,,
2/9/2015,2046.73999,2046.73999,20.67,21.45,16.88,18.55,,,
2/10/2015,2068.590088,2068.590088,19.73,20.71,15.2,17.23,,,
2/11/2015,2068.530029,2068.530029,19.71,20.65,14.28,16.96,,,
2/12/2015,2088.47998,2088.47998,18.34,19.79,12.36,15.34,,,
2/13/2015,2096.98999,2096.98999,18.13,19.43,11.76,14.69,,,
2/17/2015,2100.340088,2100.340088,18.38,19.62,13.55,15.8,,,
2/18/2015,2099.679932,2099.679932,18.66,19.67,12.4,15.45,,,
2/19/2015,2097.449951,2097.449951,18.01,19.62,12.34,15.29,,,
2/20/2015,2110.300049,2110.300049,17.29,19.11,11.74,14.3,,,
2/23/2015,2109.659912,2109.659912,17.54,19.04,12.16,14.56,,,
2/24/2015,2115.47998,2115.47998,16.71,18.39,10.94,13.69,,,
2/25/2015,2113.860107,2113.860107,16.87,18.42,11.64,13.84,,,
2/26/2015,2110.73999,2110.73999,16.85,18.47,11.38,13.91,,,
2/27/2015,2104.5,2104.5,16.89,18.41,10.6,13.34,,,
3/2/2015,2117.389893,2117.389893,16.46,18,10.85,13.04,,,
3/3/2015,2107.780029,2107.780029,16.78,18.28,11.81,13.86,,,
3/4/2015,2098.530029,2098.530029,16.91,18.39,12.28,14.23,,,
3/5/2015,2101.040039,2101.040039,16.64,18.13,12.16,14.04,,,
3/6/2015,2071.26001,2071.26001,17.51,18.7,14.31,15.2,,,
3/9/2015,2079.429932,2079.429932,17.31,18.57,14.2,15.06,,,
3/10/2015,2044.160034,2044.160034,18.26,19.43,16.72,16.69,,,
3/11/2015,2040.23999,2040.23999,18.53,19.67,16.78,16.87,,,
3/12/2015,2065.949951,2065.949951,17.39,18.71,15.04,15.42,,,
3/13/2015,2053.399902,2053.399902,17.89,19.16,15.25,16,,,
3/16/2015,2081.189941,2081.189941,17.4,18.66,16.15,15.61,,,
3/17/2015,2074.280029,2074.280029,17.48,18.8,16.72,15.66,,,
3/18/2015,2099.5,2099.5,16.43,17.95,13.85,13.97,,,
3/19/2015,2089.27002,2089.27002,16.97,18.4,12.89,14.07,,,
3/20/2015,2108.100098,2108.100098,16.71,18.16,10.73,13.02,,,
3/23/2015,2104.419922,2104.419922,16.53,18.18,12.03,13.41,,,
3/24/2015,2091.5,2091.5,16.59,18.29,12.24,13.62,,,
3/25/2015,2061.050049,2061.050049,17.57,19.09,15.28,15.44,,,
3/26/2015,2056.149902,2056.149902,17.57,18.99,15.92,15.8,,,
3/27/2015,2061.02002,2061.02002,17.39,18.77,14.69,15.07,,,
3/30/2015,2086.23999,2086.23999,16.92,18.45,14.31,14.51,,,
3/31/2015,2067.889893,2067.889893,17.54,19.12,15.5,15.29,,,
4/1/2015,2059.689941,2059.689941,17.34,19.1,14.29,15.11,,,
4/2/2015,2066.959961,2066.959961,17.22,18.86,13.91,14.67,,,
